phase,command,sweep_dir,sweep_index,t_ms,rel_steps,as5600_raw_mean,as5600_raw_std,as5600_deg_wrapped,as5600_deg_unwrapped,iphone_theta_deg,driver_enabled,forward_sign,lower_valid,upper_valid,usable_for_forward_fit,inferred_signed_theta_deg,linear_fit_theta_deg,linear_fit_residual_deg,cleaning_note
endpoint,L,endpoint,0,114109,0,3879.0,0.0,340.92773,340.92773,2.4,1,0,1,0,1,2.400000,2.433703,-0.033703,
endpoint,U,endpoint,0,188656,0,3304.0,0.0,290.39062,290.39062,1.3,1,-1,1,1,1,-1.300000,-1.428932,0.128932,
sweep,N,forward,0,203851,-4,3309.0,0.0,290.83007,290.83007,1.3,1,-1,1,1,1,-1.300000,-1.395344,0.095344,
sweep,N,forward,1,218700,-8,3313.922,0.268,291.26266,291.26266,1.3,1,-1,1,1,1,-1.300000,-1.362281,0.062281,
sweep,N,forward,2,224967,-12,3319.0,0.0,291.70898,291.70898,1.2,1,-1,1,1,1,-1.200000,-1.328168,0.128168,
sweep,N,forward,3,231307,-16,3324.515,0.5,292.19372,292.19372,1.2,1,-1,1,1,1,-1.200000,-1.291118,0.091118,
sweep,N,forward,4,237959,-20,3330.0,0.0,292.67578,292.67578,1.2,1,-1,1,1,1,-1.200000,-1.254273,0.054273,
sweep,N,forward,5,246388,-24,3335.297,0.457,293.14135,293.14135,1.2,1,-1,1,1,1,-1.200000,-1.218689,0.018689,
sweep,N,forward,6,253001,-28,3340.422,0.494,293.59176,293.59176,1.1,1,-1,1,1,1,-1.100000,-1.184264,0.084264,
sweep,N,forward,7,257640,-32,3345.0,0.0,293.99414,293.99414,1.1,1,-1,1,1,1,-1.100000,-1.153509,0.053509,
sweep,N,forward,8,261835,-36,3349.0,0.0,294.3457,294.3457,1.1,1,-1,1,1,1,-1.100000,-1.126639,0.026639,
sweep,N,forward,9,266946,-40,3354.016,0.124,294.78656,294.78656,1.1,1,-1,1,1,1,-1.100000,-1.092943,-0.007057,
sweep,N,forward,10,271133,-44,3359.079,0.268,295.2315,295.2315,1.0,1,-1,1,1,1,-1.000000,-1.058936,0.058936,
sweep,N,forward,11,276548,-48,3365.0,0.0,295.75195,295.75195,1.0,1,-1,1,1,1,-1.000000,-1.019157,0.019157,
sweep,N,forward,12,281197,-52,3370.984,0.124,296.27789,296.27789,1.0,1,-1,1,1,1,-1.000000,-0.978958,-0.021042,
sweep,N,forward,13,284912,-56,3376.0,0.0,296.71875,296.71875,1.9,1,-1,1,1,0,-1.900000,-0.945263,-0.954737,excluded_outlier_neighbor_typo_suspected
sweep,N,forward,14,295193,-60,3381.0,0.0,297.1582,297.1582,0.9,1,-1,1,1,1,-0.900000,-0.911675,0.011675,
sweep,N,forward,15,299644,-64,3385.609,0.488,297.56332,297.56332,0.9,1,-1,1,1,1,-0.900000,-0.880711,-0.019289,
sweep,N,forward,16,304319,-68,3390.016,0.124,297.95062,297.95062,0.8,1,-1,1,1,1,-0.800000,-0.851109,0.051109,
sweep,N,forward,17,309853,-72,3395.0,0.0,298.38867,298.38867,0.8,1,-1,1,1,1,-0.800000,-0.817628,0.017628,
sweep,N,forward,18,315159,-76,3400.0,0.0,298.82812,298.82812,0.8,1,-1,1,1,1,-0.800000,-0.784040,-0.015960,
sweep,N,forward,19,319852,-80,3405.703,0.457,299.3294,299.3294,0.7,1,-1,1,1,1,-0.700000,-0.745726,0.045726,
sweep,N,forward,20,326265,-84,3412.0,0.0,299.88281,299.88281,0.7,1,-1,1,1,1,-0.700000,-0.703428,0.003428,
sweep,N,forward,21,331302,-88,3417.0,0.0,300.32226,300.32226,0.7,1,-1,1,1,1,-0.700000,-0.669840,-0.030160,
sweep,N,forward,22,337547,-92,3421.859,0.348,300.74932,300.74932,0.7,1,-1,1,1,1,-0.700000,-0.637199,-0.062801,
sweep,N,forward,23,342325,-96,3426.0,0.0,301.11328,301.11328,0.7,1,-1,1,1,1,-0.700000,-0.609381,-0.090619,
sweep,N,forward,24,348758,-100,3431.0,0.0,301.55273,301.55273,0.6,1,-1,1,1,1,-0.600000,-0.575793,-0.024207,
sweep,N,forward,25,353062,-104,3436.0,0.0,301.99218,301.99218,0.6,1,-1,1,1,1,-0.600000,-0.542206,-0.057794,
sweep,N,forward,26,358433,-108,3441.0,0.0,302.43164,302.43164,0.5,1,-1,1,1,1,-0.500000,-0.508617,0.008617,
sweep,N,forward,27,368707,-112,3446.953,0.211,302.95483,302.95483,0.5,1,-1,1,1,1,-0.500000,-0.468629,-0.031371,
sweep,N,forward,28,374172,-116,3452.0,0.0,303.39843,303.39843,0.4,1,-1,1,1,1,-0.400000,-0.434724,0.034724,
sweep,N,forward,29,377901,-120,3457.921,0.268,303.91888,303.91888,0.4,1,-1,1,1,1,-0.400000,-0.394945,-0.005055,
sweep,N,forward,30,382614,-124,3462.359,0.48,304.30889,304.30889,0.3,1,-1,1,1,1,-0.300000,-0.365136,0.065136,
sweep,N,forward,31,387354,-128,3467.0,0.0,304.71679,304.71679,0.3,1,-1,1,1,1,-0.300000,-0.333959,0.033959,
sweep,N,forward,32,393586,-132,3472.0,0.0,305.15625,305.15625,0.3,1,-1,1,1,1,-0.300000,-0.300370,0.000370,
sweep,N,forward,33,398797,-136,3476.984,0.124,305.59429,305.59429,0.3,1,-1,1,1,1,-0.300000,-0.266890,-0.033110,
sweep,N,forward,34,404824,-140,3482.0,0.0,306.03515,306.03515,0.3,1,-1,1,1,1,-0.300000,-0.233195,-0.066805,
sweep,N,forward,35,410734,-144,3487.687,0.464,306.535,306.535,0.3,1,-1,1,1,1,-0.300000,-0.194990,-0.105010,
sweep,N,forward,36,416525,-148,3493.0,0.0,307.00195,307.00195,0.2,1,-1,1,1,1,-0.200000,-0.159301,-0.040699,
sweep,N,forward,37,422000,-152,3499.0,0.0,307.52929,307.52929,0.2,1,-1,1,1,1,-0.200000,-0.118995,-0.081005,
sweep,N,forward,38,426615,-156,3503.0,0.0,307.88085,307.88085,0.2,1,-1,1,1,1,-0.200000,-0.092125,-0.107875,
sweep,N,forward,39,431386,-160,3508.0,0.0,308.32031,308.32031,0.1,1,-1,1,1,1,-0.100000,-0.058536,-0.041464,
sweep,N,forward,40,436496,-164,3513.0,0.0,308.75976,308.75976,0.1,1,-1,1,1,1,-0.100000,-0.024948,-0.075052,
sweep,N,forward,41,443139,-168,3517.796,0.402,309.18133,309.18133,0.0,1,-1,1,1,1,-0.000000,0.007273,-0.007273,
sweep,N,forward,42,449517,-172,3523.0,0.0,309.63867,309.63867,0.0,1,-1,1,1,1,-0.000000,0.042228,-0.042228,
sweep,N,forward,43,453741,-176,3528.875,0.331,310.15502,310.15502,0.0,1,-1,1,1,1,0.000000,0.081694,-0.081694,
