********************************************************************************
Obsolete PIO Core v6.1.18 is used (previous was 6.1.19)
Please remove multiple PIO Cores from a system:
https://docs.platformio.org/en/latest/core/installation/troubleshooting.html
********************************************************************************
--- forcing DTR inactive
--- forcing RTS inactive
--- Terminal on /dev/cu.usbserial-A10N20X1 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
# ── Ball-and-Beam Controller ──────────────────
# SHARP_K      = 27.86 V·cm
# SHARP_OFFSET = 0.00 cm
# D_MIN        = 8.00 cm
# D_MAX        = 20.20 cm
# Setpoint     = 14.10 cm
# Kp = 20.00  Ki = 0.00  Kd = 5.00
# DT = 40 ms
# EMA_ALPHA    = 0.05
# STEP_LIMIT   = ±400 steps (±45.0°)
# DIR_SIGN     = -1
# Commands: S<d_cm>  R  H  C  ?
# ────────────────────────────────────────────────
t_ms,d_raw_cm,d_filt_cm,error_cm,integral_cms,p_steps,i_steps,d_steps,n_target,step_pos
249,13.96,13.89,-0.210,-0.041,-4.21,0.00,0.48,-4,-4
450,12.58,13.55,-0.547,-0.122,-10.94,0.00,-6.38,-17,-17
650,13.36,13.61,-0.493,-0.224,-9.85,0.00,-1.59,-11,-11
850,13.74,13.47,-0.629,-0.347,-12.58,0.00,1.79,-11,-11
1050,12.89,13.50,-0.596,-0.463,-11.91,0.00,-4.05,-16,-16
1249,13.92,13.46,-0.635,-0.594,-12.71,0.00,2.99,-10,-10
# Integrator and derivative state reset
1451,12.87,13.46,-0.645,-0.074,-12.90,0.00,-3.82,-17,-17
1650,14.38,13.53,-0.569,-0.201,-11.38,0.00,5.56,-6,-6
1849,14.49,13.74,-0.356,-0.289,-7.13,0.00,4.94,-2,-2
2049,14.50,13.92,-0.182,-0.339,-3.64,0.00,3.86,0,0
2249,14.36,14.02,-0.082,-0.362,-1.64,0.00,2.24,1,1
2449,14.39,14.09,-0.006,-0.369,-0.12,0.00,1.97,2,2
2649,14.36,14.16,0.059,-0.363,1.18,0.00,1.31,2,2
2849,14.40,14.21,0.110,-0.344,2.21,0.00,1.27,3,3
3049,14.40,14.25,0.151,-0.317,3.01,0.00,1.01,4,4
3249,14.36,14.28,0.179,-0.284,3.58,0.00,0.52,4,4
3449,14.38,14.30,0.202,-0.245,4.03,0.00,0.49,5,5
3650,12.80,14.00,-0.102,-0.240,-2.04,0.00,-7.87,-10,-10
3850,13.48,13.99,-0.112,-0.261,-2.25,0.00,-3.32,-6,-6
4050,14.02,13.86,-0.237,-0.303,-4.73,0.00,1.05,-4,-4
4250,13.12,13.87,-0.231,-0.343,-4.63,0.00,-4.93,-10,-10
4450,14.25,13.80,-0.296,-0.405,-5.93,0.00,2.94,-3,-3
4651,13.01,13.77,-0.333,-0.461,-6.66,0.00,-5.00,-12,-12
4849,14.28,13.79,-0.310,-0.531,-6.20,0.00,3.20,-3,-3
5049,12.94,13.69,-0.406,-0.598,-8.12,0.00,-4.96,-13,-13
5249,14.27,13.79,-0.306,-0.669,-6.13,0.00,3.12,-3,-3
5451,13.89,13.67,-0.434,-0.748,-8.68,0.00,1.45,-7,-7
5651,13.29,13.75,-0.350,-0.822,-6.99,0.00,-3.05,-10,-10
5850,14.60,13.70,-0.402,-0.907,-8.05,0.00,5.92,-2,-2
6050,13.89,13.93,-0.167,-0.951,-3.35,0.00,-0.31,-4,-4
6250,17.13,14.42,0.324,-0.937,6.49,0.00,17.80,24,24
6449,15.69,14.83,0.734,-0.813,14.68,0.00,5.65,20,20
6650,17.98,15.44,1.345,-0.597,26.90,0.00,16.69,44,44
6851,16.85,15.61,1.512,-0.309,30.24,0.00,8.16,38,38
7051,16.00,15.96,1.855,0.041,37.10,0.00,0.30,37,37
7250,16.55,15.91,1.808,0.400,36.17,0.00,4.20,40,40
7450,14.31,15.84,1.738,0.766,34.76,0.00,-10.03,25,25
7649,14.64,15.47,1.369,1.060,27.37,0.00,-5.43,22,22
7851,12.09,14.92,0.818,1.277,16.37,0.00,-18.61,-2,-2
8050,12.43,14.39,0.295,1.377,5.89,0.00,-12.91,-7,-7
8249,10.83,13.60,-0.499,1.341,-9.98,0.00,-18.25,-28,-28
8451,9.98,12.92,-1.176,1.161,-23.53,0.00,-19.38,-43,-43
8650,9.43,12.14,-1.964,0.829,-39.27,0.00,-17.83,-57,-57
8850,8.72,11.44,-2.663,0.353,-53.26,0.00,-17.90,-71,-71
9049,9.69,10.93,-3.167,-0.247,-63.34,0.00,-8.18,-72,-72
9249,9.66,10.67,-3.425,-0.911,-68.50,0.00,-6.69,-75,-75
9449,10.93,10.62,-3.484,-1.609,-69.67,0.00,2.07,-68,-68
9649,10.23,10.60,-3.501,-2.304,-70.02,0.00,-2.40,-72,-72
9850,12.53,10.89,-3.210,-2.976,-64.20,0.00,10.82,-53,-53
10051,12.87,11.18,-2.916,-3.586,-58.32,0.00,11.12,-47,-47
10250,13.77,11.82,-2.277,-4.092,-45.54,0.00,12.80,-33,-33
10450,15.71,12.42,-1.680,-4.484,-33.61,0.00,21.67,-12,-12
10649,15.49,13.25,-0.846,-4.713,-16.93,0.00,14.71,-2,-2
10850,17.77,14.02,-0.083,-4.802,-1.66,0.00,24.70,23,23
11049,17.65,14.87,0.768,-4.712,15.35,0.00,18.29,34,34
11249,16.84,15.38,1.284,-4.491,25.68,0.00,9.58,35,35
11449,15.82,15.57,1.473,-4.206,29.45,0.00,1.65,31,31
11650,14.50,15.45,1.346,-3.922,26.93,0.00,-6.20,21,21
11850,13.13,15.04,0.940,-3.697,18.79,0.00,-12.54,6,6
12050,11.98,14.46,0.361,-3.576,7.22,0.00,-16.36,-9,-9
12250,10.91,13.76,-0.342,-3.586,-6.83,0.00,-18.71,-26,-26
12450,10.12,13.01,-1.093,-3.744,-21.87,0.00,-19.02,-41,-41
12650,9.25,12.22,-1.881,-4.057,-37.62,0.00,-19.51,-57,-57
12849,8.90,11.48,-2.625,-4.524,-52.49,0.00,-16.95,-69,-69
13049,10.25,11.10,-3.000,-5.102,-60.00,0.00,-5.58,-66,-66
13250,10.35,10.84,-3.258,-5.736,-65.16,0.00,-3.21,-68,-68
13450,11.03,10.90,-3.197,-6.382,-63.93,0.00,0.84,-63,-63
13650,12.14,11.00,-3.096,-7.015,-61.92,0.00,7.48,-54,-54
13849,12.37,11.37,-2.727,-7.587,-54.54,0.00,6.57,-48,-48
14050,14.36,11.83,-2.273,-8.088,-45.46,0.00,16.65,-29,-29
14249,14.20,12.44,-1.662,-8.462,-33.24,0.00,11.57,-22,-22
14450,16.79,13.23,-0.875,-8.709,-17.49,0.00,23.45,6,6
14649,15.50,13.82,-0.281,-8.803,-5.63,0.00,11.06,5,5
14850,17.85,14.67,0.575,-8.757,11.50,0.00,20.92,32,32
15050,16.75,14.97,0.872,-8.611,17.44,0.00,11.71,29,29
15250,15.00,15.25,1.154,-8.391,23.08,0.00,-1.67,21,21
15449,15.48,15.21,1.113,-8.171,22.25,0.00,1.75,24,24
15650,13.08,14.99,0.886,-7.963,17.72,0.00,-12.53,5,5
15849,13.56,14.65,0.547,-7.830,10.94,0.00,-7.18,4,4
16050,11.44,14.06,-0.038,-7.784,-0.75,0.00,-17.25,-18,-18
16251,11.14,13.55,-0.549,-7.851,-10.98,0.00,-15.84,-27,-27
