********************************************************************************
Obsolete PIO Core v6.1.18 is used (previous was 6.1.19)
Please remove multiple PIO Cores from a system:
https://docs.platformio.org/en/latest/core/installation/troubleshooting.html
********************************************************************************
--- forcing DTR inactive
--- forcing RTS inactive
--- Terminal on /dev/cu.usbserial-A10N20X1 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
# ── Ball-and-Beam Controller ──────────────────
# SHARP_K      = 27.86 V·cm
# SHARP_OFFSET = 0.00 cm
# D_MIN        = 8.00 cm
# D_MAX        = 20.20 cm
# Setpoint     = 14.10 cm
# Kp = 20.00  Ki = 0.00  Kd = 3.00
# DT = 40 ms
# EMA_ALPHA    = 0.20
# STEP_LIMIT   = ±400 steps (±45.0°)
# DIR_SIGN     = -1
# Commands: S<d_cm>  R  H  C  ?
# ────────────────────────────────────────────────
t_ms,d_raw_cm,d_filt_cm,error_cm,integral_cms,p_steps,i_steps,d_steps,n_target,step_pos
249,14.55,14.51,0.406,0.078,8.12,0.00,0.84,9,9
449,14.54,14.52,0.420,0.161,8.40,0.00,0.39,9,9
649,14.39,14.49,0.391,0.246,7.83,0.00,-1.99,6,6
850,14.07,14.31,0.207,0.304,4.14,0.00,-4.36,0,0
1049,13.67,13.95,-0.148,0.305,-2.95,0.00,-5.31,-8,-8
1249,13.42,13.62,-0.482,0.232,-9.64,0.00,-3.71,-13,-13
1455,11.80,13.08,-1.016,0.092,-20.32,0.00,-24.05,-44,-44
1650,13.19,13.01,-1.088,-0.136,-21.76,0.00,3.42,-18,-18
# Integrator and derivative state reset
1852,12.78,12.55,-1.549,-0.062,-30.99,0.00,4.31,-27,-27
2052,12.97,13.06,-1.036,-0.300,-20.72,0.00,-1.77,-22,-22
2251,13.94,13.18,-0.920,-0.523,-18.40,0.00,14.19,-4,-4
2450,13.40,13.68,-0.415,-0.613,-8.31,0.00,-5.26,-14,-14
2650,14.70,13.96,-0.142,-0.694,-2.83,0.00,13.91,11,11
2850,13.31,13.88,-0.223,-0.695,-4.46,0.00,-10.63,-15,-15
3050,14.86,14.31,0.215,-0.709,4.30,0.00,10.28,15,15
3251,13.11,13.81,-0.288,-0.703,-5.76,0.00,-13.14,-19,-19
3453,13.95,14.26,0.160,-0.693,3.20,0.00,-5.90,-3,-3
3653,14.29,13.66,-0.444,-0.767,-8.88,0.00,11.82,3,3
3851,13.23,13.86,-0.244,-0.796,-4.88,0.00,-11.67,-17,-17
4050,14.21,13.71,-0.389,-0.900,-7.78,0.00,9.45,2,2
4250,12.60,13.40,-0.704,-0.979,-14.07,0.00,-14.86,-29,-29
4450,13.75,13.41,-0.689,-1.143,-13.78,0.00,6.39,-7,-7
4652,12.32,12.74,-1.356,-1.340,-27.11,0.00,-7.87,-35,-35
4850,13.96,13.37,-0.733,-1.543,-14.66,0.00,11.16,-3,-3
5051,12.65,12.71,-1.394,-1.774,-27.89,0.00,-1.12,-29,-29
5250,14.49,13.73,-0.373,-1.931,-7.45,0.00,14.39,7,7
5453,14.10,13.38,-0.717,-2.087,-14.33,0.00,13.45,-1,-1
5653,12.85,13.76,-0.340,-2.142,-6.81,0.00,-17.14,-24,-24
5850,14.63,13.83,-0.266,-2.245,-5.33,0.00,14.84,10,10
6050,13.38,13.89,-0.212,-2.254,-4.23,0.00,-9.52,-14,-14
6250,14.79,14.24,0.141,-2.277,2.83,0.00,10.22,13,13
6450,13.26,13.82,-0.282,-2.277,-5.65,0.00,-10.53,-16,-16
6649,14.73,14.31,0.211,-2.279,4.22,0.00,7.84,12,12
6853,13.84,13.63,-0.466,-2.336,-9.32,0.00,3.77,-6,-6
7053,12.36,13.46,-0.635,-2.415,-12.71,0.00,-20.62,-33,-33
7250,13.68,13.19,-0.914,-2.612,-18.28,0.00,9.22,-9,-9
7450,12.43,12.98,-1.120,-2.792,-22.40,0.00,-10.27,-33,-33
7650,13.51,13.11,-0.993,-3.025,-19.86,0.00,7.51,-12,-12
7851,12.21,12.71,-1.390,-3.253,-27.81,0.00,-9.32,-37,-37
8050,13.79,13.26,-0.836,-3.470,-16.71,0.00,9.76,-7,-7
8253,13.35,12.95,-1.152,-3.692,-23.04,0.00,7.52,-16,-16
8453,12.98,13.39,-0.706,-3.848,-14.11,0.00,-7.82,-22,-22
8650,13.91,13.40,-0.699,-4.021,-13.99,0.00,9.57,-4,-4
8849,14.33,13.97,-0.129,-4.090,-2.59,0.00,6.76,4,4
9049,14.50,14.30,0.198,-4.075,3.96,0.00,3.87,8,8
9250,14.36,14.43,0.328,-4.014,6.57,0.00,-1.32,5,5
9449,14.35,14.38,0.275,-3.956,5.51,0.00,-0.49,5,5
9650,14.25,14.33,0.229,-3.905,4.59,0.00,-1.48,3,3
9849,14.23,14.28,0.178,-3.866,3.56,0.00,-0.85,3,3
10049,14.26,14.26,0.156,-3.833,3.12,0.00,0.06,3,3
10249,14.21,14.23,0.130,-3.805,2.60,0.00,-0.45,2,2
10449,14.21,14.23,0.130,-3.779,2.60,0.00,-0.28,2,2
10650,12.66,13.42,-0.683,-3.834,-13.67,0.00,-14.19,-28,-28
10854,16.09,14.36,0.256,-3.899,5.13,0.00,32.52,38,38
11056,17.25,15.56,1.462,-3.719,29.25,0.00,31.59,61,61
11251,16.10,16.55,2.452,-3.248,49.03,0.00,-8.43,41,41
11450,17.42,16.69,2.588,-2.781,51.76,0.00,13.69,65,65
11650,15.45,16.38,2.283,-2.250,45.66,0.00,-17.54,28,28
11849,16.84,16.51,2.413,-1.805,48.27,0.00,6.11,54,54
12051,14.20,15.26,1.164,-1.440,23.28,0.00,-20.00,3,3
12253,14.13,15.02,0.917,-1.221,18.33,0.00,-16.69,2,2
12449,13.41,13.83,-0.274,-1.205,-5.49,0.00,-7.75,-13,-13
12651,11.62,12.88,-1.221,-1.349,-24.42,0.00,-23.58,-48,-48
12849,11.48,11.91,-2.195,-1.734,-43.90,0.00,-7.96,-52,-52
13050,10.07,10.98,-3.116,-2.267,-62.31,0.00,-17.13,-79,-79
13249,10.46,10.57,-3.535,-2.959,-70.70,0.00,-1.99,-73,-73
13450,9.48,9.98,-4.115,-3.728,-82.30,0.00,-9.53,-92,-92
13649,10.35,10.15,-3.949,-4.536,-78.98,0.00,3.64,-75,-75
13851,10.22,9.92,-4.179,-5.370,-83.59,0.00,5.53,-78,-78
14051,10.34,10.38,-3.716,-6.141,-74.32,0.00,-0.82,-75,-75
14252,11.56,10.74,-3.361,-6.866,-67.22,0.00,15.32,-52,-52
14449,11.50,11.38,-2.724,-7.439,-54.47,0.00,2.39,-52,-52
14651,13.63,12.45,-1.655,-7.879,-33.10,0.00,22.19,-11,-11
14850,13.30,13.06,-1.038,-8.114,-20.75,0.00,4.50,-16,-16
15049,15.90,14.67,0.573,-8.131,11.46,0.00,23.01,34,34
15254,16.07,15.02,0.923,-7.988,18.46,0.00,19.59,38,38
15455,15.98,16.25,2.149,-7.624,42.98,0.00,-5.08,38,38
15650,17.38,16.48,2.380,-7.211,47.60,0.00,16.84,64,64
15849,15.84,16.48,2.384,-6.687,47.68,0.00,-11.98,36,36
16050,17.61,16.90,2.796,-6.194,55.93,0.00,13.32,69,69
16250,15.18,16.13,2.027,-5.692,40.54,0.00,-17.75,23,23
